Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
195,26937,species,Red-breasted Nuthatch,Sitta canadensis,3,Cat Heaven,US-VA,02 Dec 2014,L2691232,S20760063,,1
196,6866,species,Horned Grebe,Podiceps auritus,1,West Creek Lakes,US-VA,22 Nov 2014,L1209885,S20639233,,1
197,742,species,Bufflehead,Bucephala albeola,30,West Creek Lakes,US-VA,22 Nov 2014,L1209885,S20639233,,1
198,11126,species,Yellow-bellied Sapsucker,Sphyrapicus varius,1,Cat Heaven,US-VA,16 Nov 2014,L2691232,S20574151,,1
199,27026,species,Brown Creeper,Certhia americana,1,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
200,6855,species,Pied-billed Grebe,Podilymbus podiceps,50,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
201,6521,species,Ring-billed Gull,Larus delawarensis,3,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
202,5500,species,American Coot,Fulica americana,100,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
203,778,species,Ruddy Duck,Oxyura jamaicensis,40,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
204,612,species,Green-winged Teal,Anas crecca,3,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
205,505,species,Gadwall,Mareca strepera,10,Swan Lake/Shields Lake,US-VA,12 Nov 2014,L2182364,S20574112,,1
206,32595,species,Pine Siskin,Spinus pinus,1,Cat Heaven,US-VA,09 Nov 2014,L2691232,S20495682,,1
207,32324,species,Purple Finch,Haemorhous purpureus,1,Cat Heaven,US-VA,09 Nov 2014,L2691232,S20495682,,1
209,673,species,Ring-necked Duck,Aythya collaris,10,West Creek Lakes,US-VA,31 Oct 2014,L1209885,S20497024,,1
210,517,species,American Wigeon,Mareca americana,30,West Creek Lakes,US-VA,31 Oct 2014,L1209885,S20497024,,1
211,485,species,Blue-winged Teal,Spatula discors,20,West Creek Lakes,US-VA,31 Oct 2014,L1209885,S20497024,,1
212,33946,species,Ovenbird,Seiurus aurocapilla,1,Cat Heaven,US-VA,23 Sep 2014,L2691232,S19977863,,1
213,26932,species,Brown-headed Nuthatch,Sitta pusilla,1,Cat Heaven,US-VA,13 Sep 2014,L2691232,S19818367,,1
214,33981,species,Nashville Warbler,Leiothlypis ruficapilla,1,Cat Heaven,US-VA,09 Sep 2014,L2691232,S19782852,,1
215,10306,species,Belted Kingfisher,Megaceryle alcyon,1,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
216,7634,species,Reddish Egret,Egretta rufescens,1,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
217,7630,species,Tricolored Heron,Egretta tricolor,1,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
218,6775,species,Sandwich Tern,Thalasseus sandvicensis,,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
219,6725,species,Black Tern,Chlidonias niger,20,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
220,6699,species,Least Tern,Sternula antillarum,70,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
221,6622,species,Black Skimmer,Rynchops niger,100,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
223,6232,species,Semipalmated Sandpiper,Calidris pusilla,8,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
224,6231,species,Western Sandpiper,Calidris mauri,20,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
225,6226,species,Least Sandpiper,Calidris minutilla,10,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
226,6189,species,Sanderling,Calidris alba,50,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
227,6161,species,Ruddy Turnstone,Arenaria interpres,10,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
229,6051,species,Marbled Godwit,Limosa fedoa,20,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
230,5928,species,Wilson's Plover,Anarhynchus wilsonia,10,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
231,5811,species,Black-bellied Plover,Pluvialis squatarola,10,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,1
232,21091,species,Loggerhead Shrike,Lanius ludovicianus,1,Clearwater Beach/Pier 60 Park,US-FL,26 Aug 2014,L4542281,S19584088,,1
233,17474,species,Gray Kingbird,Tyrannus dominicensis,2,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19627528,,1
234,7591,species,Yellow-crowned Night Heron,Nyctanassa violacea,1,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19627528,,1
236,6748,species,Common Tern,Sterna hirundo,2,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19627528,,1
237,6731,species,Forster's Tern,Sterna forsteri,2,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19627528,,1
238,7315,species,Magnificent Frigatebird,Fregata magnificens,5,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19577319,,1
239,6789,species,Royal Tern,Thalasseus maximus,1,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19577319,,1
240,6057,species,Short-billed Dowitcher,Limnodromus griseus,1,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19577319,,1
241,5834,species,Semipalmated Plover,Charadrius semipalmatus,2,Alfred McKethan Park (Pine Island),US-FL,25 Aug 2014,L587449,S19577267,,1
242,6147,species,Willet,Tringa semipalmata,1,Hudson Beach Park,US-FL,24 Aug 2014,L584788,S19563482,,1
243,7645,species,Snowy Egret,Egretta thula,,The Preserves at Fairway Oaks,US-FL,24 Aug 2014,L3036414,S19563519,,1
244,754,species,Hooded Merganser,Lophodytes cucullatus,2,Lowry Park Zoo (do NOT report captive birds),US-FL,19 Aug 2014,L3086509,S19862678,,1
245,445,species,Muscovy Duck,Cairina moschata,3,Veterans Village,US-FL,18 Aug 2014,L3053279,S19563629,N,1
246,2243,species,Common Ground Dove,Columbina passerina,2,The Preserves at Fairway Oaks,US-FL,17 Aug 2014,L3036414,S19493640,,1
247,1274,species,Wild Turkey,Meleagris gallopavo,2,Jay B. Starkey Wilderness Park,US-FL,16 Aug 2014,L225456,S19487409,,1
248,5697,species,Sandhill Crane,Antigone canadensis,4,Hays Road Town Center,US-FL,16 Aug 2014,L3040286,S19488557,,1
249,7832,species,Osprey,Pandion haliaetus,1,Veterans Memorial Park,US-FL,16 Aug 2014,L582113,S19487267,,1
250,7629,species,Little Blue Heron,Egretta caerulea,2,Veterans Memorial Park,US-FL,16 Aug 2014,L582113,S19487267,,1
251,5468,species,Common Gallinule,Gallinula galeata,3,Veterans Memorial Park,US-FL,16 Aug 2014,L582113,S19487267,,1
252,575,species,Mottled Duck,Anas fulvigula,1,Veterans Memorial Park,US-FL,16 Aug 2014,L582113,S19487267,,1
253,33858,species,Boat-tailed Grackle,Quiscalus major,3,Hudson Beach Park,US-FL,14 Aug 2014,L584788,S19474317,,1
254,7792,species,Brown Pelican,Pelecanus occidentalis,1,Hudson Beach Park,US-FL,14 Aug 2014,L584788,S19474317,,1
255,2031,species,Eurasian Collared-Dove,Streptopelia decaocto,2,Hudson Beach Park,US-FL,14 Aug 2014,L584788,S19474317,N,1
256,7729,species,Great Egret,Ardea alba,15,Embassy Drive Rookery,US-FL,14 Aug 2014,L2617326,S19474255,,1
257,7467,species,Glossy Ibis,Plegadis falcinellus,8,Embassy Drive Rookery,US-FL,14 Aug 2014,L2617326,S19474255,,1
258,7367,species,Anhinga,Anhinga anhinga,1,Embassy Drive Rookery,US-FL,14 Aug 2014,L2617326,S19474255,,1
259,6490,species,Laughing Gull,Leucophaeus atricilla,5,Embassy Drive Rookery,US-FL,14 Aug 2014,L2617326,S19474255,,1
260,7724,species,Western Cattle-Egret,Ardea ibis,1,The Preserves at Fairway Oaks,US-FL,14 Aug 2014,L3036414,S19468341,,1
261,7462,species,White Ibis,Eudocimus albus,9,The Preserves at Fairway Oaks,US-FL,14 Aug 2014,L3036414,S19468341,,1
262,34598,species,Blue Grosbeak,Passerina caerulea,3,Glen Allen High School,US-VA,13 Aug 2014,L2751529,S19466750,,1
263,24187,species,Barn Swallow,Hirundo rustica,2,Glen Allen High School,US-VA,30 May 2014,L2751529,S18637021,,1
264,34084,species,Blackburnian Warbler,Setophaga fusca,1,Cheswick Park,US-VA,27 May 2014,L2823311,S18586180,,1
265,34607,species,Indigo Bunting,Passerina cyanea,1,Cat Heaven,US-VA,23 May 2014,L2691232,S18534288,,1
266,33952,species,Louisiana Waterthrush,Parkesia motacilla,1,Echo Lake Park,US-VA,16 May 2014,L246152,S18420474,,1
267,28318,species,Gray-cheeked Thrush,Catharus minimus,2,Echo Lake Park,US-VA,16 May 2014,L246152,S18420474,,1
268,3238,species,Yellow-billed Cuckoo,Coccyzus americanus,1,Meadow Farm/General Sheppard Crump Memorial Park,US-VA,12 May 2014,L718596,S18355033,,1
269,33953,species,Northern Waterthrush,Parkesia noveboracensis,1,Deep Run Park,US-VA,09 May 2014,L246147,S18302883,,1
270,16950,species,Acadian Flycatcher,Empidonax virescens,1,Deep Run Park,US-VA,09 May 2014,L246147,S18302883,,1
271,34557,species,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,Cheswick Park,US-VA,08 May 2014,L2823311,S18296813,,1
272,34436,species,Scarlet Tanager,Piranga olivacea,1,Cheswick Park,US-VA,08 May 2014,L2823311,S18296813,,1
273,34218,species,Black-throated Green Warbler,Setophaga virens,1,Cheswick Park,US-VA,08 May 2014,L2823311,S18296813,,1
274,34141,species,Black-throated Blue Warbler,Setophaga caerulescens,1,Cheswick Park,US-VA,08 May 2014,L2823311,S18296813,,1
275,34138,species,Blackpoll Warbler,Setophaga striata,2,Cheswick Park,US-VA,08 May 2014,L2823311,S18296813,,1
276,34133,species,Chestnut-sided Warbler,Setophaga pensylvanica,1,Echo Lake Park,US-VA,05 May 2014,L246152,S18241630,,1
277,33963,species,Prothonotary Warbler,Protonotaria citrea,1,Echo Lake Park,US-VA,05 May 2014,L246152,S18241630,,1
278,19245,species,Eastern Warbling Vireo,Vireo gilvus,1,Echo Lake Park,US-VA,05 May 2014,L246152,S18241630,,1
279,33679,species,Orchard Oriole,Icterus spurius,1,Bryan Park,US-VA,05 May 2014,L303334,S18241700,,1
280,24081,species,Purple Martin,Progne subis,20,Bryan Park,US-VA,05 May 2014,L303334,S18241700,,1
281,34185,species,Prairie Warbler,Setophaga discolor,1,Glen Allen High School,US-VA,04 May 2014,L2751529,S18218457,,1
282,34063,species,Northern Parula,Setophaga americana,1,Glen Allen High School,US-VA,04 May 2014,L2751529,S18218457,,1
283,34058,species,American Redstart,Setophaga ruticilla,1,Cheswick Park,US-VA,02 May 2014,L2823311,S18196312,,1
284,29888,species,Cedar Waxwing,Bombycilla cedrorum,30,Cheswick Park,US-VA,02 May 2014,L2823311,S18196312,,1
285,28324,species,Swainson's Thrush,Catharus ustulatus,2,Cheswick Park,US-VA,02 May 2014,L2823311,S18196312,,1
286,28313,species,Veery,Catharus fuscescens,1,Cheswick Park,US-VA,02 May 2014,L2823311,S18196312,,1
287,19267,species,Red-eyed Vireo,Vireo olivaceus,2,Cheswick Park,US-VA,02 May 2014,L2823311,S18196312,,1
288,17334,species,Great Crested Flycatcher,Myiarchus crinitus,1,Glen Allen High School,US-VA,01 May 2014,L2751529,S18160972,,1
289,28347,species,Wood Thrush,Hylocichla mustelina,1,Glen Allen High School,US-VA,30 Apr 2014,L2751529,S18151563,,1
290,6129,species,Solitary Sandpiper,Tringa solitaria,1,Glen Allen High School,US-VA,30 Apr 2014,L2751529,S18150923,,1
291,33853,species,Common Grackle,Quiscalus quiscula,45,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
292,28000,species,Gray Catbird,Dumetella carolinensis,2,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
293,27191,species,Northern House Wren,Troglodytes aedon,1,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
295,24106,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
296,24064,species,Tree Swallow,Tachycineta bicolor,1,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
297,17472,species,Eastern Kingbird,Tyrannus tyrannus,1,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
298,8367,species,Bald Eagle,Haliaeetus leucocephalus,1,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
299,6126,species,Spotted Sandpiper,Actitis macularius,2,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
300,571,species,American Black Duck,Anas rubripes,,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,1
301,16924,species,Eastern Wood-Pewee,Contopus virens,1,Glen Allen High School,US-VA,25 Apr 2014,L2751529,S18076372,,1
302,7704,species,Green Heron,Butorides virescens,1,Glen Allen High School,US-VA,25 Apr 2014,L2751529,S18076372,,1
303,28037,species,Brown Thrasher,Toxostoma rufum,1,Glen Allen High School,US-VA,24 Apr 2014,L2751529,S18055637,,1
304,19165,species,White-eyed Vireo,Vireo griseus,1,Cat Heaven,US-VA,23 Apr 2014,L2691232,S18053889,,1
305,11762,species,Pileated Woodpecker,Dryocopus pileatus,1,Cat Heaven,US-VA,23 Apr 2014,L2691232,S18053889,,1
306,4802,species,Ruby-throated Hummingbird,Archilochus colubris,1,Cat Heaven,US-VA,23 Apr 2014,L2691232,S18053889,,1
307,33244,species,Savannah Sparrow,Passerculus sandwichensis,5,Glen Allen High School,US-VA,22 Apr 2014,L2751529,S18040115,,1
308,34028,species,Common Yellowthroat,Geothlypis trichas,1,Echo Lake Park,US-VA,20 Apr 2014,L246152,S17979023,,1
309,17007,species,Eastern Phoebe,Sayornis phoebe,2,Echo Lake Park,US-VA,20 Apr 2014,L246152,S17979023,,1
310,7753,species,Great Blue Heron,Ardea herodias,1,Echo Lake Park,US-VA,20 Apr 2014,L246152,S17979023,,1
311,7424,species,Double-crested Cormorant,Nannopterum auritum,1,Echo Lake Park,US-VA,20 Apr 2014,L246152,S17979023,,1
312,31534,species,House Sparrow,Passer domesticus,5,Vietnam Garden Restaurant,US-VA,19 Apr 2014,L2790039,S17967926,N,1
313,27123,species,Blue-gray Gnatcatcher,Polioptila caerulea,,Cat Heaven,US-VA,18 Apr 2014,L2691232,S17948271,,1
314,11427,species,Hairy Woodpecker,Leuconotopicus villosus,1,Cat Heaven,US-VA,18 Apr 2014,L2691232,S17948271,,1
315,33315,species,Swamp Sparrow,Melospiza georgiana,1,Dunncroft/Caste Point Park,US-VA,16 Apr 2014,L2782325,S17922946,,1
316,26844,species,Ruby-crowned Kinglet,Corthylio calendula,,Dunncroft/Caste Point Park,US-VA,16 Apr 2014,L2782325,S17922946,,1
318,34148,species,Palm Warbler,Setophaga palmarum,1,Glen Allen High School,US-VA,11 Apr 2014,L2751529,S17850757,,1
321,545,species,Mallard,Anas platyrhynchos,1,Glen Allen High School,US-VA,05 Apr 2014,L2751529,S17774246,,1
322,8910,species,Great Horned Owl,Bubo virginianus,1,Glen Allen High School,US-VA,01 Apr 2014,L2751529,S17724044,,1
323,8506,species,Red-tailed Hawk,Buteo jamaicensis,2,Glen Allen High School,US-VA,01 Apr 2014,L2751529,S17724044,,1
324,7815,species,Turkey Vulture,Cathartes aura,1,Glen Allen High School,US-VA,01 Apr 2014,L2751529,S17724044,,1
325,342,species,Canada Goose,Branta canadensis,3,Glen Allen High School,US-VA,01 Apr 2014,L2751529,S17724044,,1
327,34159,species,Yellow-rumped Warbler,Setophaga coronata,1,Cat Heaven,US-VA,23 Mar 2014,L2691232,S17615868,,1
328,33002,species,Field Sparrow,Spizella pusilla,1,Cat Heaven,US-VA,17 Mar 2014,L2691232,S17506018,,1
329,32617,species,American Goldfinch,Spinus tristis,3,Cat Heaven,US-VA,17 Mar 2014,L2691232,S17506018,,1
330,11199,species,Red-bellied Woodpecker,Melanerpes carolinus,1,Cat Heaven,US-VA,17 Mar 2014,L2691232,S17506018,,1
331,34153,species,Pine Warbler,Setophaga pinus,1,Glen Allen High School,US-VA,14 Mar 2014,L2751529,S17428983,,1
332,21294,species,Blue Jay,Cyanocitta cristata,1,Glen Allen High School,US-VA,14 Mar 2014,L2751529,S17428983,,1
333,11900,species,Northern Flicker,Colaptes auratus,2,Glen Allen High School,US-VA,14 Mar 2014,L2751529,S17428983,,1
334,11400,species,Downy Woodpecker,Dryobates pubescens,1,Cat Heaven,US-VA,13 Mar 2014,L2691232,S17429141,,1
335,34515,species,Northern Cardinal,Cardinalis cardinalis,1,Cat Heaven,US-VA,11 Mar 2014,L2691232,S17413333,,1
336,33201,species,White-throated Sparrow,Zonotrichia albicollis,1,Cat Heaven,US-VA,11 Mar 2014,L2691232,S17413333,,1
337,8278,species,Cooper's Hawk,Astur cooperii,1,Cat Heaven,US-VA,11 Mar 2014,L2691232,S17413333,,1
338,33099,species,Fox Sparrow,Passerella iliaca,1,Cat Heaven,US-VA,07 Mar 2014,L2691232,S17413228,,1
339,32990,species,Chipping Sparrow,Spizella passerina,2,Cat Heaven,US-VA,05 Mar 2014,L2691232,S17409794,,1
340,26889,species,White-breasted Nuthatch,Sitta carolinensis,1,Glen Allen High School,US-VA,02 Mar 2014,L2751529,S17282669,,1
342,8487,species,Red-shouldered Hawk,Buteo lineatus,1,Glen Allen High School,US-VA,02 Mar 2014,L2751529,S17282669,,1
343,2412,species,Mourning Dove,Zenaida macroura,1,Glen Allen High School,US-VA,02 Mar 2014,L2751529,S17282669,,1
344,27348,species,Carolina Wren,Thryothorus ludovicianus,1,Cat Heaven,US-VA,28 Feb 2014,L2691232,S17282560,,1
345,26848,species,Golden-crowned Kinglet,Regulus satrapa,1,Cat Heaven,US-VA,28 Feb 2014,L2691232,S17282560,,1
346,33833,species,Brown-headed Cowbird,Molothrus ater,,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
347,33779,species,Red-winged Blackbird,Agelaius phoeniceus,1,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
348,33415,species,Eastern Towhee,Pipilo erythrophthalmus,2,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
349,33277,species,Song Sparrow,Melospiza melodia,3,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
350,33124,species,Dark-eyed Junco,Junco hyemalis,,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
351,28633,species,American Robin,Turdus migratorius,5,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
352,28333,species,Hermit Thrush,Catharus guttatus,1,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
353,28126,species,Eastern Bluebird,Sialia sialis,3,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
354,28114,species,Northern Mockingbird,Mimus polyglottos,2,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
355,22160,species,Tufted Titmouse,Baeolophus bicolor,4,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
356,22060,species,Carolina Chickadee,Poecile carolinensis,5,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
357,21570,species,Fish Crow,Corvus ossifragus,,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
358,21557,species,American Crow,Corvus brachyrhynchos,,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
359,7811,species,Black Vulture,Coragyps atratus,2,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
360,5827,species,Killdeer,Charadrius vociferus,2,Glen Allen High School,US-VA,27 Feb 2014,L2751529,S17225155,,1
46,22075,hybrid,Carolina x Black-capped Chickadee (hybrid),Poecile carolinensis x atricapillus,1,Bealers Ferry Pond,US-VA,12 Jul 2023,L10914481,S150264649,,0
76,359,hybrid,Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,1,Swan Lake/Shields Lake,US-VA,11 Feb 2022,L2182364,S102428929,X,0
127,573,hybrid,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,1,Bryan Park,US-VA,10 Nov 2017,L303334,S40582958,,0
144,578,hybrid,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula,2,Possum Branch Preserve,US-FL,17 Apr 2017,L1015140,S36068194,,0
28,581,slash,Mallard/Mottled Duck,Anas platyrhynchos/fulvigula,,The Celery Fields,US-FL,21 Apr 2025,L234146,S228047847,,0
31,33954,slash,Louisiana/Northern Waterthrush,Parkesia motacilla/noveboracensis,1,Cape Charles Natural Area Preserve,US-VA,13 Jul 2024,L598037,S186844183,,0
59,6356,spuh,shorebird sp.,Charadriiformes sp. (shorebird sp.),200,Edward S. Brinkley Nature Preserve,US-VA,02 Apr 2023,L11333070,S132500404,,0
62,16997,spuh,Empidonax sp.,Empidonax sp.,3,Pole Green Park,US-VA,29 Sep 2022,L718662,S119669970,,0
69,708,slash,Greater/Lesser Scaup,Aythya marila/affinis,,Mason Neck SP--Visitors Center,US-VA,13 Mar 2022,L521963,S104745644,,0
77,33520,spuh,new world sparrow sp.,Passerellidae sp.,,Turkey Island Road,US-VA,16 Jan 2021,L2438994,S79347377,,0
81,17501,spuh,new world flycatcher sp.,Tyrannidae sp.,1,Leakes Mill Park,US-VA,07 May 2020,L5851856,S69315043,,0
82,19306,spuh,vireo sp.,Vireo sp.,1,Echo Lake Corner 1,US-VA,28 Apr 2020,L4556911,S68214615,,0
83,27646,spuh,wren sp.,Troglodytidae sp.,1,Grandview Nature Preserve,US-VA,04 Jan 2020,L718480,S63052614,,0
91,751,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,1,Úlfljótsvatn--skátabúðir (Scout Centre),IS-8,22 Jul 2019,L9729626,S58674558,,0
117,394,spuh,swan sp.,Cygnus sp.,8,George Washington Birthplace National Monument,US-VA,16 Mar 2019,L159307,S53945435,,0
118,8279,slash,Sharp-shinned/Cooper's Hawk,Accipiter striatus/Astur cooperii,1,Echo Lake Park,US-VA,03 Jan 2019,L246152,S51255444,,0
173,11934,spuh,woodpecker sp.,Picidae sp.,1,Crewes Channel,US-VA,28 Jan 2017,L1255219,S34017026,,0
175,35852,spuh,passerine sp.,Passeriformes sp.,1,Hobby Lobby Pond,US-VA,09 Dec 2016,L2453006,S32935028,,0
176,6619,spuh,gull sp.,Larinae sp.,1,Camp Burke's Mill Pond (Restricted Access),US-VA,19 Nov 2016,L5095167,S32645415,,0
177,312,domestic,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),100,Swan Lake/Shields Lake,US-VA,08 Nov 2016,L2182364,S32511073,X,0
208,792,spuh,duck sp.,Anatidae (duck sp.),,West Creek Lakes,US-VA,31 Oct 2014,L1209885,S20497024,,0
222,6235,spuh,peep sp.,Calidris sp. (peep sp.),100,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,0
228,6062,slash,Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,10,Fort De Soto Park,US-FL,27 Aug 2014,L127332,S19643219,,0
235,6803,spuh,tern sp.,Sterninae sp.,5,Robert K. Rees Memorial Park,US-FL,25 Aug 2014,L127314,S19627528,,0
294,24305,spuh,swallow sp.,Hirundinidae sp.,2,Lake Rooty,US-VA,25 Apr 2014,L2521664,S18081289,,0
317,8573,spuh,Buteo sp.,Buteo sp.,1,Glen Allen High School,US-VA,11 Apr 2014,L2751529,S17845631,,0
319,21620,spuh,crow sp.,Corvus sp. (crow sp.),4,Glen Allen High School,US-VA,07 Apr 2014,L2751529,S17793791,,0
320,34397,spuh,new world warbler sp.,Parulidae sp.,1,Glen Allen High School,US-VA,05 Apr 2014,L2751529,S17774246,,0
326,33944,spuh,blackbird sp.,Icteridae sp.,,Glen Allen High School,US-VA,29 Mar 2014,L2751529,S17684210,,0
341,8576,spuh,hawk sp.,Accipitridae sp. (hawk sp.),1,Glen Allen High School,US-VA,02 Mar 2014,L2751529,S17282669,,0
